protein accession	superkingdom	phylum	class	order	family	species	genus	taxid
ANC33134.1	Bacteria	candidate division NC10				uncultured candidate division NC10 bacterium		991135.0
AIF09482.1	Archaea	Thaumarchaeota				uncultured marine thaumarchaeote KM3_37_D10		1456137.0
ADM47791.1	Bacteria					uncultured bacterium		77133.0
ABI97127.1	Bacteria					uncultured bacterium		77133.0
ACE95891.2	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas sp. LW13	Methylomonas	107637.0
AGS94390.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_086725206.1	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces carpinensis	Streptomyces	66369.0
WP_096527388.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus Nitrosoglobus terrae	Candidatus Nitrosoglobus	1630141.0
ACC86005.1	Bacteria					uncultured bacterium		77133.0
APC64171.1	Bacteria					uncultured bacterium		77133.0
TFE67771.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum sp. Yel	Methylacidiphilum	1847730.0
CDR86273.1	Bacteria					uncultured bacterium		77133.0
BBL34099.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas stercoris	Nitrosomonas	1444684.0
CDQ47642.1	Bacteria					uncultured methanotrophic bacterium		288814.0
XP_018023400.1	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Hyalellidae	Hyalella azteca	Hyalella	294128.0
QLF98485.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
QLF98463.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
PZN85969.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales		Candidatus Methyloumidiphilus alinensis	Candidatus Methyloumidiphilus	2202197.0
CAF28769.1	Archaea	Crenarchaeota				uncultured crenarchaeote		29281.0
BBA31631.1	Bacteria					uncultured bacterium		77133.0
CBJ17886.1	Bacteria					uncultured methanotrophic bacterium		288814.0
BAP16550.1	Bacteria					uncultured bacterium		77133.0
QLF98461.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
QOW97321.1	Bacteria					uncultured bacterium		77133.0
AWJ65030.1	Bacteria					uncultured bacterium		77133.0
CAD62411.1	Bacteria					uncultured soil bacterium		164851.0
AKS49298.1	Bacteria					uncultured bacterium		77133.0
OUR85101.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 44_32_T64	Cycloclasticus	1856282.0
ALX36822.1	Bacteria					uncultured bacterium		77133.0
AIF17054.1	Archaea	Thaumarchaeota				uncultured marine thaumarchaeote KM3_76_A03		1456281.0
QBF67907.1	Bacteria					uncultured methanotrophic bacterium		288814.0
KAG2478896.1	Archaea	Thaumarchaeota		Nitrosopumilales		Nitrosopumilales archaeon		2026768.0
CAL69046.1	Bacteria					uncultured bacterium		77133.0
AWJ65925.1	Bacteria					uncultured bacterium		77133.0
AFD54936.1	Bacteria					uncultured bacterium		77133.0
AFD54891.1	Bacteria					uncultured bacterium		77133.0
PPK73028.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter tundripaludum	Methylobacter	173365.0
WP_153249047.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Candidatus Methylospira mobilis	Candidatus Methylospira	1808979.0
QXE96985.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
AIR92297.1	Bacteria					uncultured bacterium		77133.0
WP_114969213.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax sp. OTU1	Rhodoferax	2109322.0
SCZ85183.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas mobilis	Nitrosomonas	51642.0
ALF04499.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ADY18601.1	Bacteria					uncultured bacterium		77133.0
AQU43404.1	Bacteria					uncultured bacterium		77133.0
TMM00088.1	Bacteria	Actinobacteria	Actinomycetia			Actinobacteria bacterium		1883427.0
RTL80974.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales		Hyphomicrobiales bacterium		1909294.0
WP_128930925.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium zhanjiangense	Bradyrhizobium	1325107.0
OTE97882.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Crenotrichaceae	Crenothrix sp. D3	Crenothrix	1880899.0
AIY22513.1	Bacteria					uncultured bacterium		77133.0
WP_134111638.1	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Kribbellaceae	Kribbella sp. VKM Ac-2573	Kribbella	2512224.0
WP_110318531.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium moriokaense	Mycolicibacterium	39691.0
AGK23000.1	Bacteria	candidate division NC10				uncultured candidate division NC10 bacterium		991135.0
AWJ65570.1	Bacteria					uncultured bacterium		77133.0
AWJ65777.1	Bacteria					uncultured bacterium		77133.0
WP_090475937.1	Bacteria	Actinobacteria	Actinomycetia	Nakamurellales	Nakamurellaceae	Nakamurella panacisegetis	Nakamurella	1090615.0
WP_006890227.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter tundripaludum	Methylobacter	173365.0
AFU59446.1	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera gargensis	Nitrososphaera	1237085.0
CAG1769399.1	Bacteria					uncultured bacterium		77133.0
WP_136246237.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium intracellulare	Mycobacterium	1767.0
TAL46607.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum sp.	Methylovulum	1916980.0
PCI51259.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae bacterium		1889775.0
WP_193928831.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora sp. HNM0983	Saccharopolyspora	2781240.0
AGO87363.1	Bacteria					uncultured bacterium		77133.0
AEZ00309.1	Bacteria					uncultured bacterium		77133.0
QLF98456.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
AYC81413.1	Bacteria					uncultured bacterium		77133.0
ASB30272.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales		uncultured Nitrosomonadales bacterium		239992.0
ABB84339.1	Bacteria					uncultured bacterium		77133.0
WP_066887011.1	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces thermoautotrophicus	Streptomyces	1469144.0
CDN71761.1	Bacteria					uncultured bacterium		77133.0
BAG68247.1	Bacteria					uncultured bacterium		77133.0
ABY86540.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
CBX88110.1	Bacteria					uncultured methanotrophic bacterium		288814.0
PYO18020.1	Bacteria	Candidatus Rokubacteria				Candidatus Rokubacteria bacterium		2053607.0
ABX79987.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	uncultured Methylocystis sp.	Methylocystis	153501.0
OUR82749.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 46_120_T64	Cycloclasticus	1856281.0
WP_085216468.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomagnum ishizawai	Methylomagnum	1760988.0
GBL40832.1	Archaea	Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum sp.	Nitrosarchaeum	2026886.0
CDQ47682.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_208964404.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae		Rhodococcus	1827.0
QLF98473.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
AMO12866.1	Bacteria					uncultured bacterium		77133.0
ABU45550.1	Bacteria					uncultured bacterium		77133.0
OUR85659.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 44_32_T64	Cycloclasticus	1856282.0
AFQ00847.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AKS49456.1	Bacteria					uncultured bacterium		77133.0
ABF72404.1	Bacteria					uncultured bacterium		77133.0
WP_016921577.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis parvus	Methylocystis	134.0
AFV59562.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ASB30513.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales		uncultured Nitrosomonadales bacterium		239992.0
AFM79997.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_045226819.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloterricola oryzae	Methyloterricola	1495050.0
ACO06858.1	Bacteria					uncultured bacterium		77133.0
BBA31632.1	Bacteria					uncultured bacterium		77133.0
WP_102810203.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium sp. ENV421	Mycobacterium	1213407.0
PCI52101.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae bacterium		1889775.0
WP_069407586.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium holsaticum	Mycolicibacterium	152142.0
AGO63543.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_163888790.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium hippocampi	Mycolicibacterium	659824.0
PCI70890.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsiaceae bacterium		2030828.0
WP_038932122.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium japonicum	Bradyrhizobium	375.0
WP_107568212.1	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter sp. Seoho-28	Conexibacter	2133960.0
WP_093577139.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis rubida	Amycolatopsis	112413.0
BAE93365.1	Bacteria					uncultured bacterium		77133.0
CAZ15792.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AWJ65827.1	Bacteria					uncultured bacterium		77133.0
ALX36519.1	Bacteria					uncultured bacterium		77133.0
AFV95107.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AHF95761.1	Bacteria					uncultured bacterium		77133.0
XP_018024693.1	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Hyalellidae	Hyalella azteca	Hyalella	294128.0
QJT78465.1	Bacteria					uncultured bacterium		77133.0
AET62809.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_177189010.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas aquatica	Solimonas	489703.0
CAD24602.1	Bacteria					uncultured bacterium		77133.0
OGB13553.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Burkholderiales bacterium RIFCSPLOWO2_02_FULL_67_64		1797564.0
AAV67697.1	Bacteria					uncultured bacterium		77133.0
WP_194805510.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Nocardia sp. BSTN01	Nocardia	2783665.0
AOR50862.1	Bacteria					uncultured bacterium		77133.0
CBX88114.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_072701430.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus coprophilus	Rhodococcus	38310.0
ADP55728.1	Bacteria					uncultured bacterium		77133.0
AGO87379.1	Bacteria					uncultured bacterium		77133.0
WP_085769854.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis bryophila	Methylocystis	655015.0
ARN59877.1	Bacteria					uncultured bacterium		77133.0
AAT91842.1	Bacteria					uncultured bacterium		77133.0
CBX88074.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_163897963.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium pulveris	Mycolicibacterium	36813.0
WP_043716275.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Kutzneria sp. 744	Kutzneria	345341.0
TMC98914.1	Bacteria	Chloroflexi				Chloroflexi bacterium		2026724.0
WP_027255968.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Leisingera aquimarina	Leisingera	476529.0
SBN37626.1	Bacteria					uncultured bacterium		77133.0
AWJ65595.1	Bacteria					uncultured bacterium		77133.0
AWJ65933.1	Bacteria					uncultured bacterium		77133.0
WP_133880829.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Panacagrimonas perspica	Panacagrimonas	381431.0
AFD54981.1	Bacteria					uncultured bacterium		77133.0
TME95162.1	Bacteria	Chloroflexi				Chloroflexi bacterium		2026724.0
CDQ47728.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AWJ65902.1	Bacteria					uncultured bacterium		77133.0
WP_098956494.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia sp. N23	Pseudonocardia	1987376.0
RUP06990.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium sp.	Mycobacterium	1785.0
WP_104955518.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium sp. SCG-1	Sphingobium	2072936.0
ACA09449.1	Bacteria					uncultured bacterium		77133.0
ABF72406.1	Bacteria					uncultured bacterium		77133.0
PCJ20784.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
WP_202213632.1	Bacteria	Verrucomicrobia				Methylacidimicrobium sp. AP8	Methylacidimicrobium	2730359.0
PKO84333.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium HGW-Betaproteobacteria-11		2013702.0
KAG2475113.1	Archaea	Thaumarchaeota		Nitrosopumilales		Nitrosopumilales archaeon		2026768.0
AFX67083.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum sp. enrichment culture clone Lpl2-128	Methylocaldum	1260416.0
WP_159929325.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus sp. WAY2	Rhodococcus	2663121.0
ABZ85730.1	Bacteria					uncultured bacterium		77133.0
WP_091295918.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter aquatilis	Gemmobacter	933059.0
AFJ39280.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AAK51669.1	Bacteria					uncultured bacterium gp23		133161.0
CDQ47637.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_090415884.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas halophila	Nitrosomonas	44576.0
BAT21155.1	Bacteria					uncultured bacterium		77133.0
CAN86669.1	Bacteria					uncultured bacterium		77133.0
APC64327.1	Bacteria					uncultured bacterium		77133.0
AAT67429.1	Bacteria	Proteobacteria				uncultured methanotrophic proteobacterium		210771.0
AMO12869.1	Bacteria					uncultured bacterium		77133.0
CBI62760.1	Bacteria					uncultured bacterium		77133.0
QLF98448.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
AEG20503.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_157622873.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas soli	Solimonas	413479.0
CAD62141.1	Bacteria					uncultured soil bacterium		164851.0
WP_211376019.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium diazoefficiens	Bradyrhizobium	1355477.0
XP_018024692.1	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Hyalellidae	Hyalella azteca	Hyalella	294128.0
PCJ20783.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
PYR36645.1	Bacteria	Acidobacteria				Acidobacteria bacterium		1978231.0
ALU85046.1	Bacteria					uncultured bacterium		77133.0
ORU89477.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. symbiont of Poecilosclerida sp. M	Cycloclasticus	1840537.0
AFR56782.1	Bacteria					uncultured bacterium		77133.0
AGF37052.1	Bacteria					uncultured bacterium		77133.0
CDQ47702.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AKD44266.1	Bacteria					uncultured methanotrophic bacterium		288814.0
BAV38196.1	Bacteria					uncultured bacterium		77133.0
CBI62647.1	Bacteria					uncultured bacterium		77133.0
AMD02892.1	Bacteria					uncultured bacterium		77133.0
TAN53591.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
BBL77111.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomagnum ishizawai	Methylomagnum	1760988.0
ADZ48329.1	Bacteria					uncultured bacterium		77133.0
AFU56540.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
QMS55258.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
AON76770.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_090285232.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas mobilis	Nitrosomonas	51642.0
QDF97010.1	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus sp. DD4	Azoarcus	2027405.0
WP_148703819.1	Archaea	Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus piranensis	Nitrosopumilus	1582439.0
BAG68250.1	Bacteria					uncultured bacterium		77133.0
ART28989.1	Bacteria					uncultured bacterium		77133.0
AGO63554.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ABM91790.1	Bacteria	Proteobacteria	Betaproteobacteria			uncultured ammonia-oxidizing beta proteobacterium		254004.0
WP_045226285.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloterricola oryzae	Methyloterricola	1495050.0
BAE96559.1	Bacteria					uncultured bacterium		77133.0
AHG25626.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_097065282.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae			206379.0
CBX88061.1	Bacteria					uncultured methanotrophic bacterium		288814.0
PCI70891.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsiaceae bacterium		2030828.0
AWJ65270.1	Bacteria					uncultured bacterium		77133.0
AGV05384.1	Bacteria					uncultured bacterium		77133.0
AEK78037.1	Bacteria					uncultured bacterium		77133.0
WP_135281765.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Candidatus Macondimonas diazotrophica	Candidatus Macondimonas	2305248.0
AWF93825.1	Bacteria					uncultured bacterium		77133.0
CBX88125.1	Bacteria					uncultured methanotrophic bacterium		288814.0
BAG74852.1	Bacteria					uncultured bacterium		77133.0
BAJ10260.1	Bacteria					uncultured bacterium		77133.0
AMR34725.1	Bacteria					uncultured bacterium		77133.0
RLA41956.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
SAJ59278.1	Bacteria					uncultured bacterium		77133.0
AER26755.1	Bacteria	Proteobacteria	Betaproteobacteria			uncultured beta proteobacterium		86027.0
PWU24876.1	Bacteria	Candidatus Rokubacteria				Candidatus Rokubacteria bacterium		2053607.0
AEK78009.1	Bacteria					uncultured bacterium		77133.0
WP_187099613.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium fluoranthenivorans	Mycolicibacterium	258505.0
AJE29840.1	Bacteria					uncultured bacterium		77133.0
ATY36154.1	Bacteria					uncultured bacterium		77133.0
BAD16571.1	Bacteria					uncultured bacterium		77133.0
AKU78471.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AWJ65397.1	Bacteria					uncultured bacterium		77133.0
ADZ75355.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
PPQ14299.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium sp. AC87j1	Bradyrhizobium	2055894.0
APC64466.1	Bacteria					uncultured bacterium		77133.0
WP_215583794.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas paludis	Methylomonas	1173101.0
AKI88618.1	Bacteria					uncultured bacterium		77133.0
CBX88059.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AWI64255.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_023496393.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus morosus	Methyloglobulus	1410681.0
TAL46606.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum sp.	Methylovulum	1916980.0
TMD91672.1	Bacteria	Chloroflexi				Chloroflexi bacterium		2026724.0
AKC58279.1	Bacteria					uncultured bacterium		77133.0
ABD57886.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	uncultured Methylocystis sp. GSC357	Methylocystis	373382.0
AQU43454.1	Bacteria					uncultured bacterium		77133.0
AFZ87739.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
CDR86043.1	Bacteria					uncultured bacterium		77133.0
TPV99438.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckiaceae bacterium		1978229.0
AAC95136.1	Bacteria	Proteobacteria	Gammaproteobacteria			uncultured bacterium BAC6		77780.0
BAM37119.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	uncultured Methylosinus sp.	Methylosinus	332354.0
AFP86235.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_083561051.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Oceanococcus atlanticus	Oceanococcus	1317117.0
APP14085.1	Bacteria					uncultured bacterium		77133.0
AFM79864.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ADY18611.1	Bacteria					uncultured bacterium		77133.0
QLF98459.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
ABF72414.2	Bacteria					uncultured bacterium		77133.0
AKD44253.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_142659813.1	Bacteria	Verrucomicrobia				Methylacidimicrobium tartarophylax	Methylacidimicrobium	1041768.0
AWJ65871.1	Bacteria					uncultured bacterium		77133.0
RTL80975.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales		Hyphomicrobiales bacterium		1909294.0
AAM11614.1	Bacteria					uncultured bacterium		77133.0
WP_156296916.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium paragordonae	Mycobacterium	1389713.0
WP_044434589.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella aerolata	Skermanella	393310.0
WP_168830131.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium sp. P32RR-XVIII	Rhizobium	2726738.0
WP_064032589.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. R-45379	Methylosinus	980563.0
RUM53389.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus sp.	Methylococcus	39769.0
ACC86031.1	Bacteria					uncultured bacterium		77133.0
CDN71754.1	Bacteria					uncultured bacterium		77133.0
ABC96840.1	Bacteria					uncultured bacterium		77133.0
ACJ53952.1	Bacteria					uncultured bacterium		77133.0
ABF72412.1	Bacteria					uncultured bacterium		77133.0
BAH22837.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium ET-HIRO		557143.0
SMR98700.1	Bacteria					uncultured bacterium		77133.0
AGO63558.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_008359136.1	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae		Nocardioides	1839.0
WP_060984650.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			80864.0
WP_215583796.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas paludis	Methylomonas	1173101.0
WP_192697260.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium sp. OAE906	Mycobacterium	2663818.0
PZQ80395.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Starkeya novella	Starkeya	921.0
ABU45556.1	Bacteria					uncultured bacterium		77133.0
QLF98466.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
BAF49661.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum sp. T-025	Methylocaldum	405091.0
AIO11470.1	Bacteria					uncultured bacterium		77133.0
WP_028060363.1	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter sp. URHD0082	Solirubrobacter	1298857.0
AWJ64848.1	Bacteria					uncultured bacterium		77133.0
TMD93114.1	Bacteria	Chloroflexi				Chloroflexi bacterium		2026724.0
ACQ90567.1	Bacteria					uncultured bacterium		77133.0
ACZ56344.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium chubuense	Mycolicibacterium	710421.0
WP_142526054.1	Bacteria	Verrucomicrobia				Methylacidimicrobium cyclopophantes	Methylacidimicrobium	1041766.0
AAL87429.1	Bacteria					uncultured bacterium		77133.0
CBX88108.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AWG97020.1	Bacteria					uncultured bacterium		77133.0
