protein accession	superkingdom	phylum	class	order	family	species	genus	taxid
QLF98454.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
WP_020481746.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		Methylomonas	416.0
CDR35443.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ACC86025.1	Bacteria					uncultured bacterium		77133.0
CAM91697.1	Bacteria					uncultured bacterium		77133.0
AGD80527.1	Bacteria					uncultured bacterium		77133.0
QOW97311.1	Bacteria					uncultured bacterium		77133.0
QLF98474.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
AAZ06197.1	Bacteria					uncultured bacterium		77133.0
CAM91736.2	Bacteria					uncultured bacterium		77133.0
WP_197731097.1	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrosocosmicus franklandus	Candidatus Nitrosocosmicus	1798806.0
BAM95880.1	Bacteria					uncultured bacterium		77133.0
BAO50365.1	Bacteria					uncultured bacterium		77133.0
AGP04312.1	Bacteria					uncultured bacterium		77133.0
AFK24749.1	Bacteria					uncultured bacterium		77133.0
BAA07112.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Gordoniaceae	Gordonia rubripertincta	Gordonia	36822.0
CBX88066.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_090719660.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp. Nm166	Nitrosomonas	1881054.0
ACS72364.1	Bacteria					uncultured bacterium		77133.0
BAE16397.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AGD80469.1	Bacteria					uncultured bacterium		77133.0
WP_150047551.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas rhizoryzae	Methylomonas	2608981.0
AWJ65942.1	Bacteria					uncultured bacterium		77133.0
WP_084835230.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Williamsia sp. 1138	Williamsia	1903117.0
WP_071101917.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium sp. ORS 3428	Mesorhizobium	540997.0
CBI62719.1	Bacteria					uncultured bacterium		77133.0
BBZ90059.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
AKS49326.1	Bacteria					uncultured bacterium		77133.0
CAA9412222.1	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	uncultured Rubrobacteraceae bacterium		349277.0
CDQ47714.1	Bacteria					uncultured methanotrophic bacterium		288814.0
TLX83200.1	Archaea	Thaumarchaeota				Thaumarchaeota archaeon		2026795.0
AWJ65903.1	Bacteria					uncultured bacterium		77133.0
ANJ88576.1	Bacteria					uncultured bacterium		77133.0
ANC58170.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum sp. RTK17.1	Methylacidiphilum	1776078.0
AKS49254.1	Bacteria					uncultured bacterium		77133.0
ACI90417.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_201281764.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. Ce-a6	Methylosinus	2172005.0
WP_174800257.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae		Methylosinus	425.0
WP_112282017.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Prauserella muralis	Prauserella	588067.0
WP_134208271.1	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina antarctica	Paenisporosarcina	417367.0
ABU88152.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum fumariolicum	Methylacidiphilum	1156937.0
BAC10314.1	Bacteria					uncultured bacterium		77133.0
CAJ01562.1	Bacteria					uncultured bacterium		77133.0
WP_183646684.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Prauserella isguenensis	Prauserella	1470180.0
ADI72510.1	Bacteria					uncultured bacterium		77133.0
AEM46008.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
BBO00576.1	Bacteria					uncultured bacterium		77133.0
CDQ47630.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ADG06263.1	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Kyrpidia tusciae	Kyrpidia	562970.0
SBN37619.1	Bacteria					uncultured bacterium		77133.0
CAH10441.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_085214205.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomagnum ishizawai	Methylomagnum	1760988.0
AFR56732.1	Bacteria					uncultured bacterium		77133.0
TMD01776.1	Bacteria	Chloroflexi				Chloroflexi bacterium		2026724.0
AKI88617.1	Bacteria					uncultured bacterium		77133.0
WP_183940735.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium paranaense	Rhizobium	1650438.0
CDQ47650.1	Bacteria					uncultured methanotrophic bacterium		288814.0
CBX88060.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AJG03885.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_090609800.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium lentiflavum	Mycobacterium	141349.0
BAC10319.1	Bacteria					uncultured bacterium		77133.0
QLF98486.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
KRQ16350.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium manausense	Bradyrhizobium	989370.0
WP_202051515.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium sp. RS1	Methylomicrobium	2802053.0
RTL78235.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobiaceae bacterium		2072420.0
CAN86866.1	Bacteria					uncultured bacterium		77133.0
TAN50028.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
AIQ80338.1	Bacteria					uncultured methanotrophic bacterium		288814.0
CAJ01617.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocapsa acidiphila	Methylocapsa	133552.0
WP_136496543.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis heyeri	Methylocystis	391905.0
BBL74995.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomagnum ishizawai	Methylomagnum	1760988.0
